SKU,date,price_level,demand_qty,supply_qty
SKU-007,2024-01-28,105,270,179
SKU-007,2024-01-28,110,176,271
SKU-007,2024-01-28,115,125,363
SKU-007,2024-01-28,120,84,432
SKU-007,2024-01-28,125,42,489
SKU-008,2024-01-28,90,470,42
SKU-008,2024-01-28,95,445,83
SKU-008,2024-01-28,100,316,124
SKU-008,2024-01-28,105,251,205
SKU-008,2024-01-28,110,184,248
SKU-008,2024-01-28,115,129,340
SKU-008,2024-01-28,120,84,420
SKU-008,2024-01-28,125,43,461
SKU-009,2024-01-28,90,520,42
SKU-009,2024-01-28,95,438,78
SKU-009,2024-01-28,100,345,133
SKU-009,2024-01-28,105,253,193
SKU-009,2024-01-28,110,199,248
SKU-009,2024-01-28,115,128,323
SKU-009,2024-01-28,120,78,453
SKU-009,2024-01-28,125,39,467
SKU-010,2024-01-28,90,474,41
SKU-010,2024-01-28,95,396,84
SKU-010,2024-01-28,100,356,123
SKU-010,2024-01-28,105,241,200
SKU-010,2024-01-28,110,197,264
SKU-010,2024-01-28,115,138,347
SKU-010,2024-01-28,120,79,453
SKU-010,2024-01-28,125,38,539
